title,company,details,apply_link
"Director, Head of Military & Government Partnerships",SonderMind,$145k – $165kRemote • Denver,https://wellfound.com//jobs/3522971-director-head-of-military-government-partnerships
"Director, Applied Science and Data Engineering",SonderMind,$200k – $250kRemote • Denver,https://wellfound.com//jobs/3348858-director-applied-science-and-data-engineering
"Senior Director of Engineering, Core",LaunchDarkly,$262k – $361k,https://wellfound.com//jobs/3503487-senior-director-of-engineering-core
Senior Product Security Engineer,LaunchDarkly,$158k – $257k,https://wellfound.com//jobs/3476535-senior-product-security-engineer
Principal Engineer,LaunchDarkly,$262k – $361k,https://wellfound.com//jobs/3476272-principal-engineer
Total Rewards Analyst & Stock Administrator,EarnIn,$92k – $146k,https://wellfound.com//jobs/3522889-total-rewards-analyst-stock-administrator
Senior Product Security Engineer,EarnIn,$155k – $253k,https://wellfound.com//jobs/3415983-senior-product-security-engineer
Risk Engineer,EarnIn,$145k – $237kRemote • Mountain View,https://wellfound.com//jobs/3470864-risk-engineer
Senior AI Engineer - Remote,Apollo.io,$205k – $285k • 85.0% – 99.999%Remote only • North America6 years of exp,https://wellfound.com//jobs/3516927-senior-ai-engineer-remote
Principal Large Language Model Engineer,SmartAsset,$190k – $236k,https://wellfound.com//jobs/3526661-principal-large-language-model-engineer
Software Engineer,SmartAsset,$117k – $176k,https://wellfound.com//jobs/3416045-software-engineer
Sales Manager,SmartAsset,$120k – $120k,https://wellfound.com//jobs/3407048-sales-manager
Staff Cloud Infrastructure Engineer,Assured,$180k – $210kRemote • Palo Alto,https://wellfound.com//jobs/3523103-staff-cloud-infrastructure-engineer
Senior Product Manager,Assured,$170k – $200kRemote • Palo Alto,https://wellfound.com//jobs/3496020-senior-product-manager
"Staff Database Reliability Engineer, DBRE",Assured,$165k – $185kRemote • Palo Alto,https://wellfound.com//jobs/3275890-staff-database-reliability-engineer-dbre
"Software Engineering Lead, Provider Integrations",Trellis,$195k – $205k,https://wellfound.com//jobs/3509706-software-engineering-lead-provider-integrations
"Staff Software Engineer - Distributed Systems, Real-Time Bidding",Trellis,$195k – $205k,https://wellfound.com//jobs/3503456-staff-software-engineer-distributed-systems-real-time-bidding
"Senior Machine Learning Engineer, Real-Time Bidding",Trellis,$175k – $185k,https://wellfound.com//jobs/3503457-senior-machine-learning-engineer-real-time-bidding
Senior Software Engineer - Backend,Recidiviz,$159k – $159k • No equityOnsite or remote • New York City+25 years of exp,https://wellfound.com//jobs/3511492-senior-software-engineer-backend
"State Partnerships Manager (Raleigh, NC)",Recidiviz,$112k – $131k • No equityOnsite or remote • Raleigh+13 years of exp,https://wellfound.com//jobs/3284012-state-partnerships-manager-raleigh-nc
Senior Product Manager,Recidiviz,$155k – $155k • No equityOnsite or remote • New York City+25 years of exp,https://wellfound.com//jobs/3287162-senior-product-manager
"Senior Software Engineer, Data",Vannevar Labs,$160k – $210k,https://wellfound.com//jobs/3428373-senior-software-engineer-data
"Senior Software Engineer, Frontend",Vannevar Labs,$160k – $210k,https://wellfound.com//jobs/3390748-senior-software-engineer-frontend
Cleared Forward Deployed Engineer,Vannevar Labs,$135k – $205kRemote • Colorado Springs,https://wellfound.com//jobs/2884678-cleared-forward-deployed-engineer
AI ML Engineer,dv01,$145k – $160k,https://wellfound.com//jobs/3503402-ai-ml-engineer
Assistant Controller,dv01,$115k – $125k,https://wellfound.com//jobs/3493777-assistant-controller
QA Engineer I,dv01,$75k – $85k,https://wellfound.com//jobs/3405289-qa-engineer-i
Finance & Operations Director,Commonwealth,$115k – $140k • 0.5% – 1.0%Remote only • Everywhere4 years of exp,https://wellfound.com//jobs/3510865-finance-operations-director
VP of Software and App Development,Commonwealth,$80k – $125k • 0.0% – 0.5%Remote only • Everywhere2 years of exp,https://wellfound.com//jobs/3509728-vp-of-software-and-app-development
Head of Product Engineering & Platform Development,Commonwealth,$180k – $200k • 1.0% – 1.5%Remote only • Europe3 years of exp,https://wellfound.com//jobs/3509597-head-of-product-engineering-platform-development
